state,year,month,tempmax,tempmin,temp,humidity,precip,precipcover,cases
Bauchi,2022,September,28.7,20.2,23.5,80.5,6.8,30.8,3
Bauchi,2022,October,32.0,20.7,25.5,50.5,0.8,5.9,1
Bauchi,2022,November,32.3,17.5,24.1,26.9,0.0,0.0,0
Bauchi,2022,December,30.4,13.9,21.3,25.5,0.0,0.0,24
Bauchi,2023,January,31.8,14.9,22.4,24.0,0.0,0.0,21
Bauchi,2023,February,33.8,16.5,24.3,18.1,0.0,0.0,39
Bauchi,2023,March,36.5,21.2,28.3,17.2,0.0,0.3,32
Bauchi,2023,April,37.9,23.9,30.4,26.0,0.1,3.1,10
Bauchi,2023,May,37.5,24.8,30.7,44.1,1.0,5.0,4
Bauchi,2023,June,33.7,22.6,27.4,62.3,2.5,17.8,5
Bauchi,2023,July,34.4,21.9,26.9,64.6,2.0,17.2,4
Bauchi,2023,August,30.8,20.9,25.1,76.6,4.8,25.3,4
Bauchi,2023,September,32.4,20.9,25.8,72.7,3.5,15.6,1
Bauchi,2023,October,34.5,21.1,27.0,48.3,1.2,4.8,3
Bauchi,2023,November,34.6,18.6,26.3,34.2,0.0,0.7,17
Bauchi,2023,December,32.2,13.8,22.3,25.3,0.0,0.0,53
Edo,2018,January,33.9,22.2,27.1,73.3,0.4,7.8,21
Edo,2018,February,33.6,24.6,28.2,80.1,3.7,30.1,62
Edo,2018,March,32.2,24.4,27.4,86.5,6.1,37.0,29
Edo,2018,April,31.2,24.1,26.9,88.6,7.3,39.0,9
Edo,2018,May,30.8,23.8,26.5,89.5,9.9,47.2,4
Edo,2018,June,29.7,23.2,25.6,89.9,12.2,53.1,9
Edo,2018,July,28.1,23.0,25.0,91.1,9.8,53.9,17
Edo,2018,August,28.1,22.9,24.9,88.9,15.6,54.3,13
Edo,2018,September,29.1,23.0,25.2,90.4,14.2,57.9,18
Edo,2018,October,30.0,23.3,25.8,89.7,8.6,41.9,13
Edo,2018,November,31.0,23.7,26.7,88.8,3.6,31.5,10
Edo,2018,December,33.0,22.2,26.9,78.7,1.3,12.0,20
Edo,2019,January,33.3,23.4,27.5,78.3,2.2,22.2,76
Edo,2019,February,32.6,24.1,27.6,81.8,3.7,28.1,47
Edo,2019,March,32.1,24.7,27.7,86.7,6.4,33.5,61
Edo,2019,April,31.8,24.9,27.8,87.6,7.0,36.9,5
Edo,2019,May,31.1,24.1,26.9,89.2,9.2,44.6,9
Edo,2019,June,29.2,23.6,25.8,90.7,10.8,60.4,13
Edo,2019,July,28.4,23.2,25.1,91.2,12.7,59.3,15
Edo,2019,August,28.6,23.0,25.2,89.3,7.3,54.2,11
Edo,2019,September,29.0,23.4,25.5,91.0,15.9,61.0,16
Edo,2019,October,29.2,23.2,25.5,90.9,12.8,58.7,15
Edo,2019,November,31.4,23.9,27.0,89.2,4.7,29.7,15
Edo,2019,December,32.8,22.5,26.8,82.2,1.0,17.2,6
Edo,2020,January,34.5,21.4,27.1,65.2,0.2,4.0,92
Edo,2020,February,35.9,24.1,29.0,70.8,0.6,8.0,142
Edo,2020,March,32.6,25.5,28.4,84.5,5.8,33.3,78
Edo,2020,April,31.2,24.4,27.3,88.1,5.7,31.4,12
Edo,2020,May,31.1,24.0,26.9,90.3,9.2,43.0,9
Edo,2020,June,29.5,23.1,25.8,91.0,12.0,51.0,5
Edo,2020,July,28.5,23.2,25.2,90.7,10.2,59.9,2
Edo,2020,August,28.9,22.7,25.3,85.3,2.7,34.3,5
Edo,2020,September,28.4,22.9,25.0,91.5,15.8,59.3,8
Edo,2020,October,29.8,23.3,25.9,90.5,8.4,43.8,10
Edo,2020,November,31.6,24.0,27.0,87.7,2.3,32.4,11
Edo,2020,December,32.1,23.9,27.2,85.1,1.8,26.7,9
Edo,2021,January,32.8,23.7,27.4,81.9,1.5,20.8,31
Edo,2021,February,33.8,24.3,28.1,76.6,1.5,23.7,34
Edo,2021,March,32.6,24.9,28.0,82.7,3.0,28.0,42
Edo,2021,April,32.3,24.6,27.7,84.4,3.5,26.0,8
Edo,2021,May,30.7,23.6,26.6,89.3,6.2,30.6,15
Edo,2021,June,29.5,23.1,25.7,90.9,9.0,42.5,17
Edo,2021,July,28.6,23.1,25.3,89.8,8.2,48.8,7
Edo,2021,August,28.7,23.4,25.4,90.7,12.9,65.1,16
Edo,2021,September,29.7,23.3,25.7,90.1,16.7,53.6,7
Edo,2021,October,30.6,23.7,26.4,89.6,8.4,43.0,6
Edo,2021,November,31.5,23.8,26.8,89.6,4.4,33.5,13
Edo,2021,December,33.8,22.9,27.4,78.5,0.8,10.2,12
Edo,2022,January,36.7,22.3,28.1,60.9,0.4,6.7,67
Edo,2022,February,39.2,23.3,29.5,64.7,0.2,6.1,72
Edo,2022,March,36.5,24.9,29.1,73.5,3.3,19.4,35
Edo,2022,April,34.3,24.1,27.7,77.4,3.6,19.0,20
Edo,2022,May,32.0,23.2,26.3,83.3,4.4,20.4,21
Edo,2022,June,29.9,22.5,25.0,89.1,8.2,44.3,17
Edo,2022,July,27.8,22.2,24.2,90.6,9.0,53.6,15
Edo,2022,August,28.3,21.8,24.3,87.9,9.8,44.6,11
Edo,2022,September,28.1,22.3,24.5,91.1,8.7,54.2,5
Edo,2022,October,31.5,22.7,25.7,86.2,5.9,34.1,9
Edo,2022,November,35.2,23.1,27.5,75.5,1.4,13.5,11
Edo,2022,December,36.7,22.4,28.1,61.4,0.2,4.2,6
Edo,2023,January,37.9,22.0,28.3,61.0,0.5,4.0,123
Edo,2023,February,39.0,23.8,29.8,62.0,0.4,5.1,67
Edo,2023,March,35.3,23.8,28.0,75.6,5.2,19.5,58
Edo,2023,April,33.9,24.2,27.7,79.5,4.9,24.4,27
Edo,2023,May,34.0,24.1,27.5,82.9,4.1,28.9,9
Edo,2023,June,29.8,22.9,25.2,91.8,16.3,56.4,10
Edo,2023,July,29.7,23.1,25.2,91.6,16.8,61.2,10
Edo,2023,August,29.1,22.8,25.0,91.0,10.6,52.4,9
Edo,2023,September,29.5,22.8,25.1,91.6,10.8,49.9,5
Edo,2023,October,32.4,23.3,26.3,87.5,6.3,37.4,15
Edo,2023,November,33.2,23.6,27.1,83.7,2.9,27.5,11
Edo,2023,December,36.8,22.7,28.4,62.4,0.4,5.4,16
Ondo,2018,January,33.5,20.5,26.4,56.2,0.0,0.0,26
Ondo,2018,February,33.8,23.4,27.6,73.7,2.2,18.6,40
Ondo,2018,March,32.7,23.6,26.9,81.1,3.2,27.3,11
Ondo,2018,April,30.8,23.4,26.2,84.6,3.3,29.2,4
Ondo,2018,May,29.7,22.9,25.5,87.1,6.9,37.9,3
Ondo,2018,June,28.9,22.4,24.7,88.1,9.4,47.2,3
Ondo,2018,July,27.8,22.4,24.3,87.6,5.6,42.7,7
Ondo,2018,August,27.8,22.1,24.1,86.6,8.8,48.5,2
Ondo,2018,September,28.6,22.2,24.4,88.5,9.6,45.6,1
Ondo,2018,October,30.0,22.6,25.1,86.6,5.0,28.4,13
Ondo,2018,November,31.3,22.9,26.2,83.9,1.5,15.7,8
Ondo,2018,December,33.2,20.5,26.1,64.6,0.0,1.1,23
Ondo,2019,January,34.0,21.7,26.9,65.6,0.8,8.2,66
Ondo,2019,February,33.5,23.1,27.4,72.0,4.7,16.4,38
Ondo,2019,March,32.8,23.8,27.2,81.6,3.8,24.3,34
Ondo,2019,April,32.2,23.9,27.1,83.5,4.0,29.2,11
Ondo,2019,May,30.9,23.4,26.3,85.9,7.6,33.7,10
Ondo,2019,June,28.6,22.4,24.9,89.0,7.7,48.1,9
Ondo,2019,July,28.5,22.4,24.4,88.5,7.5,55.4,15
Ondo,2019,August,28.4,22.3,24.3,87.6,6.2,46.9,5
Ondo,2019,September,29.1,22.4,24.8,89.0,8.6,46.7,18
Ondo,2019,October,29.2,22.1,24.7,89.1,10.1,51.9,11
Ondo,2019,November,31.9,23.0,26.6,84.7,2.0,13.5,23
Ondo,2019,December,33.9,20.8,26.3,67.8,0.1,4.3,33
Ondo,2020,January,34.3,19.6,26.3,49.9,0.1,1.7,97
Ondo,2020,February,36.2,21.7,28.3,52.5,0.1,0.6,119
Ondo,2020,March,33.8,24.5,28.0,79.1,3.1,20.8,84
Ondo,2020,April,32.0,23.5,26.8,82.9,3.1,22.2,13
Ondo,2020,May,31.0,23.0,26.2,85.8,3.8,26.1,16
Ondo,2020,June,29.4,22.0,25.1,88.2,7.6,39.6,12
Ondo,2020,July,28.4,22.3,24.4,87.5,8.3,49.5,9
Ondo,2020,August,28.6,21.7,24.4,84.1,2.1,28.1,18
Ondo,2020,September,28.2,22.0,24.1,89.8,12.5,51.9,12
Ondo,2020,October,30.1,22.5,25.3,87.1,5.0,29.3,10
Ondo,2020,November,33.1,23.1,26.9,78.8,0.8,7.2,14
Ondo,2020,December,33.3,23.0,27.1,74.7,0.3,4.2,14
Ondo,2021,January,34.7,22.7,27.6,68.3,0.0,1.2,13
Ondo,2021,February,35.6,23.5,28.5,62.0,0.2,2.8,18
Ondo,2021,March,34.1,24.0,27.9,76.5,2.0,14.2,29
Ondo,2021,April,33.2,23.7,27.3,79.9,2.1,15.0,11
Ondo,2021,May,31.5,23.0,26.2,84.3,3.2,20.6,12
Ondo,2021,June,29.7,22.3,25.1,86.5,6.0,27.5,12
Ondo,2021,July,28.4,22.4,24.6,87.3,5.9,35.2,11
Ondo,2021,August,28.5,22.5,24.6,88.7,10.5,54.0,14
Ondo,2021,September,29.9,22.5,25.1,87.0,8.1,41.8,5
Ondo,2021,October,30.6,22.9,25.8,86.8,5.0,26.1,15
Ondo,2021,November,32.3,23.4,26.7,84.2,1.4,11.5,8
Ondo,2021,December,34.1,21.9,27.0,66.8,0.0,0.8,14
Ondo,2022,January,35.6,19.9,26.9,45.8,0.1,1.3,75
Ondo,2022,February,37.5,20.6,28.0,54.0,0.2,2.2,109
Ondo,2022,March,37.5,22.9,28.3,70.3,2.7,11.2,22
Ondo,2022,April,34.5,22.3,26.7,75.7,4.0,14.3,20
Ondo,2022,May,32.7,21.7,25.6,81.4,3.2,19.5,25
Ondo,2022,June,29.7,21.1,24.1,86.9,5.4,33.2,25
Ondo,2022,July,27.0,20.7,22.9,91.4,7.5,47.7,28
Ondo,2022,August,27.1,20.3,22.8,89.4,6.8,43.1,16
Ondo,2022,September,27.7,21.0,23.3,91.4,7.7,46.1,20
Ondo,2022,October,30.6,21.1,24.6,83.1,4.3,28.9,14
Ondo,2022,November,34.5,21.0,26.5,64.8,0.5,7.8,16
Ondo,2022,December,35.5,19.9,26.5,47.5,0.1,1.9,18
Ondo,2023,January,36.5,19.9,27.1,43.5,0.3,3.4,130
Ondo,2023,February,37.7,21.5,28.3,52.2,0.2,3.1,80
Ondo,2023,March,34.7,22.2,26.8,72.8,5.9,14.7,52
Ondo,2023,April,34.1,22.6,26.6,77.6,2.6,16.8,34
Ondo,2023,May,33.9,22.5,26.5,79.5,2.5,20.3,13
Ondo,2023,June,29.1,21.5,24.0,89.9,8.3,43.2,8
Ondo,2023,July,28.8,21.7,24.0,90.5,8.0,44.5,26
Ondo,2023,August,28.3,21.3,23.6,91.0,8.0,43.5,19
Ondo,2023,September,28.8,21.6,24.0,90.5,6.7,42.8,13
Ondo,2023,October,31.2,22.0,25.2,85.5,5.4,30.9,15
Ondo,2023,November,33.2,22.1,26.2,76.8,2.4,18.5,15
Ondo,2023,December,35.8,20.7,27.2,43.0,0.0,0.1,29
