state,year,datetime,epiweek,cases,tempmaxw,tempminw,tempw,humidityw,precipw,precipcovw
Bauchi,2019,2019-06-09,23,0.0,29.3,21.2,25.0,82.9,3.0,12.5
Bauchi,2019,2019-06-16,24,0.0,32.1,22.8,26.9,77.8,0.6,20.83
Bauchi,2019,2019-06-23,25,0.0,31.4,21.8,25.8,81.9,10.8,41.67
Bauchi,2019,2019-06-30,26,0.0,31.1,23.1,26.4,81.7,9.0,37.5
Bauchi,2019,2019-07-07,27,0.0,29.3,22.7,25.7,83.7,3.5,33.33
Bauchi,2019,2019-07-14,28,1.0,28.7,20.2,24.4,85.0,12.7,41.67
Bauchi,2019,2019-07-21,29,1.0,27.9,20.4,23.3,86.3,16.4,29.17
Bauchi,2019,2019-07-28,30,1.0,28.6,21.1,24.5,85.7,6.1,70.83
Bauchi,2019,2019-08-04,31,1.0,28.3,21.1,24.2,83.9,4.6,41.67
Bauchi,2019,2019-08-11,32,1.0,30.0,21.8,25.1,83.0,11.1,33.33
Bauchi,2019,2019-08-18,33,0.0,28.9,21.1,24.1,85.5,11.8,70.83
Bauchi,2019,2019-08-25,34,0.0,26.9,21.0,23.5,86.0,13.1,70.83
Bauchi,2019,2019-09-01,35,0.0,28.5,20.6,23.7,84.5,8.1,16.67
Bauchi,2019,2019-09-08,36,0.0,29.9,21.7,24.7,85.3,11.3,33.33
Bauchi,2019,2019-09-15,37,0.0,29.1,20.8,24.6,85.0,6.7,50.0
Bauchi,2019,2019-09-22,38,0.0,31.2,22.0,25.7,82.4,0.4,8.33
Bauchi,2019,2019-09-29,39,0.0,28.8,22.1,24.3,83.6,14.1,37.5
Bauchi,2019,2019-10-06,40,1.0,28.1,21.0,23.7,82.3,3.6,54.17
Bauchi,2019,2019-10-13,41,1.0,30.2,21.7,25.3,85.3,3.9,37.5
Bauchi,2019,2019-10-20,42,0.0,29.6,21.1,24.8,82.6,0.6,20.83
Bauchi,2019,2019-10-27,43,0.0,26.4,20.2,23.0,90.9,16.6,91.67
Bauchi,2019,2019-11-03,44,0.0,31.8,19.3,25.7,73.7,0.0,0.0
Bauchi,2019,2019-11-10,45,1.0,31.8,19.8,25.2,65.7,0.0,0.0
Bauchi,2019,2019-11-17,46,1.0,32.5,17.2,24.7,51.0,0.0,0.0
Bauchi,2019,2019-11-24,47,0.0,32.9,15.4,24.3,50.7,0.0,0.0
Bauchi,2019,2019-12-01,48,0.0,30.5,14.8,22.0,41.9,0.0,0.0
Bauchi,2019,2019-12-08,49,1.0,30.7,11.8,20.9,42.0,0.0,0.0
Bauchi,2019,2019-12-15,50,0.0,27.8,12.2,20.0,35.7,0.0,0.0
Bauchi,2019,2019-12-22,51,0.0,28.5,9.3,18.8,38.4,0.0,0.0
Bauchi,2019,2019-12-29,52,3.0,28.3,10.4,18.8,38.5,0.0,0.0
Bauchi,2020,2020-01-05,1,1.0,23.8,12.2,17.7,43.1,0.0,0.0
Bauchi,2020,2020-01-12,2,1.0,31.4,14.2,22.4,38.0,0.0,0.0
Bauchi,2020,2020-01-19,3,2.0,26.0,11.9,18.5,42.9,0.0,0.0
Bauchi,2020,2020-01-26,4,3.0,27.5,10.3,18.2,31.7,0.0,0.0
Bauchi,2020,2020-02-02,5,6.0,28.1,9.2,18.7,30.6,0.0,0.0
Bauchi,2020,2020-02-09,6,1.0,28.7,16.1,21.8,32.3,0.0,0.0
Bauchi,2020,2020-02-16,7,11.0,31.1,14.5,22.2,26.7,0.0,0.0
Bauchi,2020,2020-02-23,8,5.0,31.9,16.4,24.0,22.1,0.0,0.0
Bauchi,2020,2020-03-01,9,3.0,34.6,17.3,26.2,30.4,0.0,0.0
Bauchi,2020,2020-03-08,10,2.0,35.7,19.0,27.1,23.1,0.0,0.0
Bauchi,2020,2020-03-15,11,4.0,32.9,14.8,23.6,23.2,0.0,0.0
Bauchi,2020,2020-03-22,12,2.0,37.6,19.1,28.8,29.9,0.0,0.0
Bauchi,2020,2020-03-29,13,1.0,38.5,20.9,29.5,21.7,0.0,0.0
Bauchi,2020,2020-04-05,14,1.0,38.0,25.5,31.8,44.6,0.0,0.0
Bauchi,2020,2020-04-12,15,0.0,35.2,22.2,29.2,25.0,0.0,0.0
Bauchi,2020,2020-04-19,16,0.0,38.5,20.7,29.8,36.0,0.0,0.0
Bauchi,2020,2020-04-26,17,0.0,37.8,26.4,31.3,53.6,0.0,0.0
Bauchi,2020,2020-05-03,18,0.0,35.4,25.1,29.6,55.5,2.1,12.5
Bauchi,2020,2020-05-10,19,0.0,36.3,25.7,30.5,54.7,0.2,8.33
Bauchi,2020,2020-05-17,20,1.0,37.4,25.9,31.2,51.5,0.0,0.0
Bauchi,2020,2020-05-24,21,0.0,28.7,23.1,25.9,79.3,5.5,29.17
Bauchi,2020,2020-05-31,22,0.0,35.5,23.0,29.2,63.6,1.2,8.33
Bauchi,2020,2020-06-07,23,0.0,35.0,23.4,28.5,62.6,0.2,8.33
Bauchi,2020,2020-06-14,24,0.0,31.5,21.9,26.5,73.2,0.0,0.0
Bauchi,2020,2020-06-21,25,0.0,31.2,23.4,26.7,76.7,7.6,29.17
Bauchi,2020,2020-06-28,26,0.0,28.8,22.0,25.3,79.7,2.1,20.83
Bauchi,2020,2020-07-05,27,0.0,29.0,21.5,24.6,85.0,7.0,58.33
Bauchi,2020,2020-07-12,28,0.0,28.9,20.3,23.9,87.4,9.6,62.5
Bauchi,2020,2020-07-19,29,0.0,29.3,20.8,24.7,83.8,3.6,41.67
Bauchi,2020,2020-07-26,30,0.0,28.8,21.2,24.4,84.2,4.6,45.83
Bauchi,2020,2020-08-02,31,0.0,27.9,21.8,24.4,82.3,11.2,58.33
Bauchi,2020,2020-08-09,32,0.0,28.6,20.6,24.5,75.0,0.0,0.0
Bauchi,2020,2020-08-16,33,0.0,30.2,21.3,25.5,72.5,0.0,0.0
Bauchi,2020,2020-08-23,34,0.0,28.6,20.9,24.6,81.5,5.5,62.5
Bauchi,2020,2020-08-30,35,0.0,28.1,20.4,23.9,85.2,5.7,62.5
Bauchi,2020,2020-09-06,36,0.0,28.4,20.2,24.2,78.4,0.4,16.67
Bauchi,2020,2020-09-13,37,0.0,29.1,21.1,24.7,81.4,0.3,12.5
Bauchi,2020,2020-09-20,38,0.0,29.5,21.0,24.2,82.7,0.6,12.5
Bauchi,2020,2020-09-27,39,0.0,29.3,20.8,24.0,84.0,8.0,25.0
Bauchi,2020,2020-10-04,40,0.0,31.1,19.3,25.2,79.3,0.1,4.17
Bauchi,2020,2020-10-11,41,0.0,31.2,20.6,25.9,75.8,0.1,4.17
Bauchi,2020,2020-10-18,42,0.0,32.0,21.0,26.2,74.5,0.0,0.0
Bauchi,2020,2020-10-25,43,0.0,31.2,18.2,25.4,51.7,0.0,0.0
Bauchi,2020,2020-11-01,44,1.0,31.4,18.3,23.9,46.6,0.0,0.0
Bauchi,2020,2020-11-08,45,0.0,30.8,15.9,23.0,44.8,0.0,0.0
Bauchi,2020,2020-11-15,46,0.0,31.8,18.1,24.2,41.3,0.0,0.0
Bauchi,2020,2020-11-22,47,4.0,31.3,15.1,23.3,46.8,0.0,0.0
Bauchi,2020,2020-11-29,48,1.0,32.3,14.3,23.1,39.2,0.0,0.0
Bauchi,2020,2020-12-06,49,1.0,33.9,16.3,24.2,44.1,0.0,0.0
Bauchi,2020,2020-12-13,50,0.0,33.7,16.4,24.4,44.5,0.0,0.0
Bauchi,2020,2020-12-20,51,0.0,31.1,14.0,22.2,43.4,0.0,0.0
Bauchi,2020,2020-12-27,52,1.0,29.2,12.2,20.3,46.4,0.0,0.0
Bauchi,2020,2021-01-03,53,1.0,33.6,14.1,23.6,38.9,0.0,0.0
Bauchi,2021,2021-01-10,1,2.0,33.0,13.3,22.7,37.7,0.0,0.0
Bauchi,2021,2021-01-17,2,0.0,31.6,12.5,21.5,36.4,0.0,0.0
Bauchi,2021,2021-01-24,3,0.0,29.6,13.3,20.4,31.7,0.0,0.0
Bauchi,2021,2021-01-31,4,1.0,30.4,12.5,21.7,31.1,0.0,0.0
Bauchi,2021,2021-02-07,5,0.0,31.3,12.7,21.5,32.6,0.0,0.0
Bauchi,2021,2021-02-14,6,0.0,33.6,15.0,24.2,30.3,0.0,0.0
Bauchi,2021,2021-02-21,7,0.0,29.1,14.0,21.0,26.7,0.0,0.0
Bauchi,2021,2021-02-28,8,2.0,32.7,17.3,24.3,23.7,0.0,0.0
Bauchi,2021,2021-03-07,9,0.0,35.0,16.2,25.6,25.8,0.0,0.0
Bauchi,2021,2021-03-14,10,1.0,35.6,21.5,28.2,29.2,0.0,0.0
Bauchi,2021,2021-03-21,11,1.0,37.7,24.5,30.5,42.4,0.0,0.0
Bauchi,2021,2021-03-28,12,0.0,32.0,19.4,25.9,20.6,0.0,0.0
Bauchi,2021,2021-04-04,13,0.0,35.7,17.6,26.8,22.0,0.0,0.0
Bauchi,2021,2021-04-11,14,1.0,37.9,20.2,29.0,24.4,0.0,0.0
Bauchi,2021,2021-04-18,15,0.0,35.7,25.1,30.4,45.9,0.0,0.0
Bauchi,2021,2021-04-25,16,0.0,37.2,24.0,30.6,49.0,0.1,4.17
Bauchi,2021,2021-05-02,17,0.0,38.5,24.4,30.7,39.4,0.0,0.0
Bauchi,2021,2021-05-09,18,2.0,35.1,22.7,28.0,64.5,10.4,29.17
Bauchi,2021,2021-05-16,19,0.0,35.4,22.8,28.7,55.8,0.0,0.0
Bauchi,2021,2021-05-23,20,0.0,36.3,24.4,29.8,55.6,0.0,0.0
Bauchi,2021,2021-05-30,21,0.0,36.8,23.1,29.9,52.9,0.0,0.0
Bauchi,2021,2021-06-06,22,0.0,33.4,23.7,27.8,67.4,2.4,8.33
Bauchi,2021,2021-06-13,23,0.0,32.6,20.6,26.5,67.4,0.0,0.0
Bauchi,2021,2021-06-20,24,0.0,30.3,21.4,25.6,80.8,11.7,25.0
Bauchi,2021,2021-06-27,25,0.0,30.6,21.7,25.7,76.3,0.4,4.17
Bauchi,2021,2021-07-04,26,0.0,28.6,21.5,24.4,85.2,10.7,41.67
Bauchi,2021,2021-07-11,27,0.0,29.9,20.4,25.5,79.3,0.1,4.17
Bauchi,2021,2021-07-18,28,0.0,27.1,21.6,24.1,78.6,0.1,4.17
Bauchi,2021,2021-07-25,29,0.0,27.9,21.3,24.2,83.8,11.2,37.5
Bauchi,2021,2021-08-01,30,0.0,27.3,21.7,24.1,86.4,7.1,70.83
Bauchi,2021,2021-08-08,31,0.0,29.2,21.4,24.1,86.8,11.5,58.33
Bauchi,2021,2021-08-15,32,0.0,28.6,21.7,24.8,83.6,6.3,58.33
Bauchi,2021,2021-08-22,33,0.0,28.4,20.8,23.7,86.5,30.0,45.83
Bauchi,2021,2021-08-29,34,0.0,28.3,20.1,24.0,82.4,1.2,12.5
Bauchi,2021,2021-09-05,35,0.0,28.6,20.6,24.1,87.8,3.1,29.17
Bauchi,2021,2021-09-12,36,0.0,28.6,21.5,24.5,84.6,6.3,29.17
Bauchi,2021,2021-09-19,37,0.0,30.4,20.8,25.2,81.7,1.1,16.67
Bauchi,2021,2021-09-26,38,0.0,31.6,21.1,25.8,76.6,0.0,0.0
Bauchi,2021,2021-10-03,39,0.0,32.2,20.4,25.7,72.2,0.0,0.0
Bauchi,2021,2021-10-10,40,0.0,32.4,19.6,25.9,68.0,0.0,0.0
Bauchi,2021,2021-10-17,41,0.0,31.7,21.5,25.4,80.8,1.9,29.17
Bauchi,2021,2021-10-24,42,1.0,31.7,22.1,26.1,75.9,0.5,12.5
Bauchi,2021,2021-10-31,43,0.0,33.0,16.8,24.3,54.7,0.0,0.0
Bauchi,2021,2021-11-07,44,0.0,32.3,16.8,24.6,52.6,0.0,0.0
Bauchi,2021,2021-11-14,45,0.0,34.0,17.1,25.3,48.0,0.0,0.0
Bauchi,2021,2021-11-21,46,2.0,33.6,17.3,25.3,45.1,0.0,0.0
Bauchi,2021,2021-11-28,47,1.0,32.3,14.1,23.1,44.7,0.0,0.0
Bauchi,2021,2021-12-05,48,1.0,31.8,17.8,23.9,39.9,0.0,0.0
Bauchi,2021,2021-12-12,49,0.0,30.6,15.0,22.3,40.2,0.0,0.0
Bauchi,2021,2021-12-19,50,3.0,26.2,12.8,18.7,38.2,0.0,0.0
Bauchi,2021,2021-12-26,51,18.0,30.3,14.4,21.8,35.1,0.0,0.0
Bauchi,2021,2022-01-02,52,4.0,28.0,13.3,20.0,35.2,0.0,0.0
Bauchi,2022,2022-01-09,1,14.0,29.8,15.5,22.6,35.4,0.0,0.0
Bauchi,2022,2022-01-16,2,7.0,31.0,15.3,22.1,16.6,0.0,0.0
Bauchi,2022,2022-01-23,3,18.0,29.8,13.2,20.6,19.3,0.0,0.0
Bauchi,2022,2022-01-30,4,14.0,28.2,11.7,19.2,16.9,0.0,0.0
Bauchi,2022,2022-02-06,5,4.0,30.4,12.1,20.7,24.4,0.0,0.0
Bauchi,2022,2022-02-13,6,8.0,33.5,14.7,23.3,16.4,0.0,0.0
Bauchi,2022,2022-02-20,7,15.0,31.1,14.4,22.0,19.7,0.0,0.0
Bauchi,2022,2022-02-27,8,15.0,34.1,16.7,24.6,17.0,0.0,0.0
Bauchi,2022,2022-03-06,9,0.0,38.2,22.0,30.0,9.5,0.0,0.0
Bauchi,2022,2022-03-13,10,1.0,34.6,18.9,26.2,17.5,0.0,0.0
Bauchi,2022,2022-03-20,11,3.0,37.4,19.4,27.9,10.0,0.0,0.0
Bauchi,2022,2022-03-27,12,4.0,35.5,18.4,26.4,12.9,0.0,0.0
Bauchi,2022,2022-04-03,13,2.0,39.5,23.1,30.5,10.5,0.0,0.0
Bauchi,2022,2022-04-10,14,1.0,38.1,23.5,30.1,42.8,0.0,0.0
Bauchi,2022,2022-04-17,15,2.0,36.5,24.8,29.1,49.2,6.8,41.67
Bauchi,2022,2022-04-24,16,1.0,36.0,26.6,31.2,38.6,0.0,0.0
Bauchi,2022,2022-05-01,17,0.0,38.8,26.0,31.5,38.6,1.4,16.67
Bauchi,2022,2022-05-08,18,0.0,37.7,26.5,31.3,42.6,0.0,0.0
Bauchi,2022,2022-05-15,19,0.0,38.0,24.5,30.8,39.1,0.0,0.0
Bauchi,2022,2022-05-22,20,0.0,36.9,24.2,29.7,48.4,1.9,25.0
Bauchi,2022,2022-05-29,21,0.0,36.5,23.1,29.4,42.0,0.0,0.0
Bauchi,2022,2022-06-05,22,0.0,30.9,21.1,25.0,56.6,0.1,4.17
Bauchi,2022,2022-06-12,23,0.0,30.2,21.4,25.6,65.1,3.7,20.83
Bauchi,2022,2022-06-19,24,0.0,34.5,21.3,27.1,55.1,0.0,0.0
Bauchi,2022,2022-06-26,25,0.0,27.5,20.9,24.0,70.9,4.7,29.17
Bauchi,2022,2022-07-03,26,0.0,32.2,21.7,26.2,64.8,0.5,16.67
Bauchi,2022,2022-07-10,27,0.0,28.3,20.4,23.1,79.1,7.1,41.67
Bauchi,2022,2022-07-17,28,0.0,22.3,20.5,21.2,92.7,34.6,66.67
Bauchi,2022,2022-07-24,29,0.0,29.8,20.6,24.8,77.4,5.6,41.67
Bauchi,2022,2022-07-31,30,1.0,29.6,19.6,24.2,69.3,0.8,16.67
Bauchi,2022,2022-08-07,31,0.0,31.6,21.0,25.5,72.7,2.3,25.0
Bauchi,2022,2022-08-14,32,0.0,24.3,19.6,21.4,88.3,2.4,41.67
Bauchi,2022,2022-08-21,33,0.0,30.0,19.8,24.5,72.3,2.0,20.83
Bauchi,2022,2022-08-28,34,0.0,21.9,19.7,20.2,94.6,19.5,62.5
Bauchi,2022,2022-09-04,35,0.0,29.2,19.7,23.7,76.6,0.2,4.17
Bauchi,2022,2022-09-11,36,1.0,27.1,20.2,23.1,82.1,3.1,33.33
Bauchi,2022,2022-09-18,37,1.0,28.9,19.3,23.2,82.1,17.7,41.67
Bauchi,2022,2022-09-25,38,1.0,31.5,20.7,25.2,72.1,0.6,8.33
Bauchi,2022,2022-10-02,39,0.0,32.7,21.3,26.0,67.3,0.8,16.67
Bauchi,2022,2022-10-09,40,1.0,32.0,21.8,26.2,63.4,1.1,12.5
Bauchi,2022,2022-10-16,41,0.0,32.4,19.3,25.2,36.6,0.0,0.0
Bauchi,2022,2022-10-23,42,0.0,33.2,20.5,26.3,34.5,0.0,0.0
Bauchi,2022,2022-10-30,43,0.0,32.3,19.8,25.4,28.8,0.0,0.0
Bauchi,2022,2022-11-06,44,0.0,32.3,17.6,24.3,26.3,0.0,0.0
Bauchi,2022,2022-11-13,45,0.0,31.7,18.5,24.5,28.8,0.0,0.0
Bauchi,2022,2022-11-20,46,0.0,32.7,17.9,24.6,26.2,0.0,0.0
Bauchi,2022,2022-11-27,47,0.0,31.1,15.5,22.4,22.8,0.0,0.0
Bauchi,2022,2022-12-04,48,10.0,35.0,18.8,25.7,26.4,0.0,0.0
Bauchi,2022,2022-12-11,49,7.0,31.7,15.0,22.5,19.6,0.0,0.0
Bauchi,2022,2022-12-18,50,1.0,30.4,14.8,22.2,20.7,0.0,0.0
Bauchi,2022,2022-12-25,51,6.0,27.2,11.4,18.5,35.2,0.0,0.0
Bauchi,2022,2023-01-01,52,0.0,27.8,10.9,18.5,29.4,0.0,0.0
Bauchi,2023,2023-01-08,1,3.0,30.6,13.1,20.8,21.5,0.0,0.0
Bauchi,2023,2023-01-15,2,5.0,29.8,13.0,20.6,23.4,0.0,0.0
Bauchi,2023,2023-01-22,3,5.0,32.5,16.4,23.6,18.9,0.0,0.0
Bauchi,2023,2023-01-29,4,8.0,35.6,20.4,28.0,28.0,0.0,0.0
Bauchi,2023,2023-02-05,5,4.0,35.4,18.9,26.0,16.5,0.0,0.0
Bauchi,2023,2023-02-12,6,14.0,33.6,15.5,23.8,15.0,0.0,0.0
Bauchi,2023,2023-02-19,7,9.0,31.2,14.1,21.9,21.6,0.0,0.0
Bauchi,2023,2023-02-26,8,12.0,36.5,18.6,26.9,11.4,0.0,0.0
Bauchi,2023,2023-03-05,9,5.0,38.8,25.1,31.0,14.5,0.0,0.0
Bauchi,2023,2023-03-12,10,6.0,35.1,19.0,26.7,11.2,0.0,0.0
Bauchi,2023,2023-03-19,11,7.0,35.9,21.3,27.7,8.8,0.0,0.0
Bauchi,2023,2023-03-26,12,14.0,35.2,21.1,27.7,37.7,0.0,0.0
Bauchi,2023,2023-04-02,13,2.0,35.9,20.2,27.6,12.2,0.0,0.0
Bauchi,2023,2023-04-09,14,3.0,39.8,24.5,31.3,32.6,0.0,0.0
Bauchi,2023,2023-04-16,15,1.0,37.0,24.4,30.2,21.5,0.0,0.0
Bauchi,2023,2023-04-23,16,4.0,37.9,26.9,30.9,41.2,1.0,16.67
Bauchi,2023,2023-04-30,17,0.0,37.8,23.9,30.0,35.0,0.0,0.0
Bauchi,2023,2023-05-07,18,3.0,39.4,24.7,31.4,34.2,0.0,0.0
Bauchi,2023,2023-05-14,19,0.0,39.0,27.1,32.4,39.2,0.0,0.0
Bauchi,2023,2023-05-21,20,1.0,37.0,25.1,29.4,53.4,5.0,25.0
Bauchi,2023,2023-05-28,21,0.0,37.5,24.7,30.4,55.2,0.0,0.0
Bauchi,2023,2023-06-04,22,4.0,36.3,22.4,28.4,58.1,0.5,8.33
Bauchi,2023,2023-06-11,23,0.0,32.9,21.4,25.3,73.6,25.9,58.33
Bauchi,2023,2023-06-18,24,1.0,34.5,24.2,28.7,57.4,0.0,0.0
Bauchi,2023,2023-06-25,25,0.0,32.2,21.0,25.0,73.9,15.2,41.67
Bauchi,2023,2023-07-02,26,0.0,35.9,21.9,28.1,59.4,0.2,4.17
Bauchi,2023,2023-07-09,27,0.0,32.6,21.5,26.2,63.2,0.5,16.67
Bauchi,2023,2023-07-16,28,1.0,33.9,22.1,27.5,60.8,0.4,12.5
Bauchi,2023,2023-07-23,29,0.0,33.3,21.7,25.3,74.5,3.5,25.0
Bauchi,2023,2023-07-30,30,3.0,33.4,21.6,26.6,70.9,4.1,25.0
Bauchi,2023,2023-08-06,31,0.0,28.2,21.9,23.8,80.8,9.2,75.0
Bauchi,2023,2023-08-13,32,0.0,25.6,21.0,22.8,88.1,26.1,50.0
Bauchi,2023,2023-08-20,33,4.0,31.1,21.5,24.6,79.8,2.5,16.67
Bauchi,2023,2023-08-27,34,0.0,26.1,20.6,22.3,88.9,12.6,45.83
Bauchi,2023,2023-09-03,35,0.0,32.2,20.9,26.4,73.2,1.9,20.83
Bauchi,2023,2023-09-10,36,1.0,32.9,19.5,26.1,68.4,3.3,29.17
Bauchi,2023,2023-09-17,37,0.0,32.2,20.9,25.7,73.9,8.4,33.33
Bauchi,2023,2023-09-24,38,0.0,31.6,21.9,26.3,75.7,2.4,20.83
Bauchi,2023,2023-10-01,39,0.0,30.1,22.6,25.8,70.5,1.9,20.83
Bauchi,2023,2023-10-08,40,1.0,33.8,21.3,27.0,51.5,0.0,0.0
Bauchi,2023,2023-10-15,41,1.0,35.8,19.6,27.4,47.1,0.0,0.0
